Database Name,URL,Description
A&AePortal,https://libguides.asu.edu/aaeportal,"Authoritative eBook platform showcasing key scholarship in art, architecture, and design."
AACR: American Association for Cancer Research,https://libguides.asu.edu/aacrjrnls,"Explore high-impact publications, meeting abstracts, and clinical trial information on cancer research, covering biology, clinical studies, epidemiology, prevention, and translational science to support advances in cancer prevention, diagnosis, and treatment."
ABI/INFORM Collection,https://libguides.asu.edu/abiinform,"Access full-text business and economics journals, dissertations, working papers, and key periodicals like ""The Economist"" and ""The Wall Street Journal"", along with detailed company and industry reports."
Academic Search Ultimate,https://libguides.asu.edu/aspebscohost,"Access to popular press magazines and peer-reviewed scholarly journals across various academic disciplines, including open-access journals and historic Associated Press videos."
Access World News,https://libguides.asu.edu/accessworldnews,"Full-text content from thousands of U.S. and international newspapers, newswires, broadcast transcripts, and business magazines, providing diverse viewpoints on local and global issues."
AccessEngineering,https://libguides.asu.edu/accessengineering,"Digital reference tool for engineering, offering resources like textbooks, videos, interactive tables, and tutorials. It supports students and professionals with authoritative information across engineering disciplines, fostering practical learning and research."
ACLS Humanities Ebook,https://libguides.asu.edu/aclshumanities,"A curated collection of scholarly books in the humanities and social sciences provides access to foundational texts across disciplines such as history, literature, art, and philosophy."
ACM Digital Library,https://libguides.asu.edu/acmdigilib,"Peer-reviewed journals, conference proceedings, and reference works in computing and information technology, offering AI-assisted search, analytics, and collaborative research tools."
Acta Sanctorum,https://libguides.asu.edu/actasanctorium,A principal source of research into the societies and cultures of early Christian and medieval Europe. It is a collection of documents on the lives of the saints in critical editions with commentaries on the source documents. In Latin.
Ad*Access,https://libguides.asu.edu/adaccess,"More than 7,000 digitized ads from U.S. and Canadian newspapers and magazines (1911-1955), focusing on beauty, radio, television, transportation, and World War II."
Advanced Technologies & Aerospace Index,https://libguides.asu.edu/aerospacedb,"Provides extensive bibliographic coverage of research, technologies, applications, and organizations in aeronautics, astronautics, IT, electronics, communications, solid-state devices, and space sciences, spanning theoretical to practical advancements since 1962."
AdViews,https://libguides.asu.edu/adviews,"Digital archive of vintage television commercials from the 1950s to the 1980s, created or collected by the D'Arcy Masius Benton & Bowles advertising agency, offering insights into historical advertising practices and consumer culture."
African American Newspapers,https://libguides.asu.edu/africanamnews,"Full-text access to 19th-century African American newspapers, offering firsthand accounts of cultural life, historical events, and major issues in African American communities, making it an essential resource for studying this period."
"African History and Culture, 1540-1921",https://libguides.asu.edu/africanhistculture,"Discover Africa's history through rare books, pamphlets, and ephemera from the 16th to the early 20th century, covering all regions of the continent and nearby areas."
African-American Studies Collection,https://libguides.asu.edu/docuseek-aas,"Streaming documentaries exploring African American history, culture, and contemporary issues through over 80 interdisciplinary films."
AGRICOLA,https://libguides.asu.edu/agricola,"A bibliographic database includes citations from global literature, such as journal articles, monographs, theses, patents, audiovisual materials, and technical reports related to agriculture."
AGU Digital Library,https://libguides.asu.edu/agupubs,Access to peer-reviewed scientific journals covering a wide range of topics in Earth and space sciences. Includes both Open Access and subscription content.
AILALink,https://libguides.asu.edu/ailalink,"A one-stop-shop for immigration legal researchers, featuring federal statutes, regulations, court and agency decisions, and AILA publications."
Ajia Rekishi Shiryo Senta (Japan Center for Asian Historical Records),https://libguides.asu.edu/ajiarekishi,"Includes Asian historical records, diplomatic records, defense studies"
Alexander Street,https://libguides.asu.edu/acadvidonline,"Streaming access to documentaries, films, and primary sources in arts, health, history, music, psychology, and social sciences for educational and research purposes."
Alexander Street Drama,https://libguides.asu.edu/alexstrdrama,"Recordings of major dramatic works from the 19th to 21st centuries, featuring productions from Shakespeare to modern playwrights, and covering topics across multiple disciplines."
Almanac of the Federal Judiciary,https://libguides.asu.edu/almanacofthefederaljudiciary,"Find updated profiles of federal judges, covering their background, financial disclosures, and attorney evaluations to provide insight into their rulings and courtroom management."
Alt-PressWatch,https://libguides.asu.edu/altpresswatch,"Access full-text articles from selected independent newspapers, magazines, and journals offering alternative perspectives on local, national, and international issues."
AM Scholar Area Studies: China and Southeast Asia,https://libguides.asu.edu/ASChina,"Western perspectives on Chinese and Southeast Asian history and culture through primary sources from traders, missionaries, diplomats, and travelers spanning the 18th to 20th centuries."
AM Scholar Area Studies: Japan,https://libguides.asu.edu/ASJapan,"Western perspectives on Japan's political, cultural, and social history through primary sources from writers, diplomats, missionaries, and travelers spanning the 15th to 20th centuries."
America: History and Life with Full Text,https://libguides.asu.edu/amerhistlife,"Access to journals and resources on U.S. and Canadian history and culture, including advanced time-period search and open access journal indexing."
America's Historical Imprints,https://libguides.asu.edu/archiveamericana,"Searchable monographs, pamphlets, broadsides, government documents, and rare printed materials provide insights into American history, literature, culture, and daily life from colonial times to the 19th century."
America’s Historical Newspapers,https://libguides.asu.edu/americashistoricalnews,"Includes thousands of titles from all 50 states chronicling the evolution of American culture and society through eyewitness reporting, editorials, letters, advertisements, obituaries, and much more."
American Chemical Society Publications,https://libguides.asu.edu/amerchemsoc,"Peer-reviewed journals and eBooks covering all fields of chemistry and related sciences, offering cutting-edge research articles, reviews, and editorials to support scientific discovery and education​"
American County Histories: The Southwest States,https://libguides.asu.edu/amercountyhistsw,"Digitized county histories from Arizona, Arkansas, New Mexico, Oklahoma, and Texas, published between 1870 and 1923, offering detailed insights into local demographics, culture, and historical events, making it essential for genealogical and historical research."
American History in Video,https://libguides.asu.edu/amerhistvideo,"Streaming documentaries and newsreel footage from trusted sources like PBS, A&E, and The History Channel, along with archival materials for in-depth exploration of American history."
American Indian History,https://libguides.asu.edu/amerindianhist,"Explores the culture, history, and heritage of Indigenous peoples in the Americas through curated articles, primary sources, images, timelines, and videos."
American Indian Index,https://libguides.asu.edu/amerindianidx,"Unique materials from ASU Library'sLabriola National American Indian Data Centerinclude photographs, oral histories, and ephemera such as brochures and newsletters, documenting American Indian history and culture in Alaska, Canada, and the U.S."
American Institute of Mathematical Sciences,https://libguides.asu.edu/amerinstmath,"Find scholarly journals and articles focused on mathematical sciences, covering areas such as applied mathematics, modeling, and computational methods, with most content available as Open Access."
American Institute of Physics,https://libguides.asu.edu/amerinstphysics,"Peer-reviewed journals, magazines, and conference proceedings covering diverse areas of physical sciences, including content from member societies and flagship titles like Physics Today."
American Mathematical Society Publications,https://libguides.asu.edu/amermathsoc,"High-quality mathematical research, including peer-reviewed journals, conference proceedings, and books spanning pure and applied mathematics, with content available from 1891 to the present."
American National Biography Online,https://libguides.asu.edu/amernatlbiog,"Biographies of influential Americans whose lives have shaped the nation, featuring images from the National Portrait Gallery and linked resources."
American Physical Society Journals,https://libguides.asu.edu/amerphyssoc,"Features leading journals in physics, offering research articles, reviews, and reports on areas such as quantum physics, condensed matter, and high-energy physics."
"American Prison Newspapers, 1800-2020: Voices from the Inside (Reveal Digital)",https://libguides.asu.edu/american-prison-newspapers,"Collection of newspapers written by and for incarcerated individuals in the U.S., with special attention to women's institutions."
American Slavery Collection,https://libguides.asu.edu/amerslavery,"Coverage:1820-1922Maximum Concurrent Users:UnlimitedDigital collection of the American Antiquarian Society’s holdings of slavery and abolition materials consisting of more than 3,500 works published from 1820 to 1922. Collection includes books, pamphlets, graphic materials, ephemera and a large number of invaluable Southern imprints."
American West,https://libguides.asu.edu/amerwest,"Features manuscripts, maps, photographs, artwork, and printed works that document the exploration, settlement, and cultural transformation of the American West from the eighteenth to twentieth centuries."
AmericasBarometer ( Latin American Public Opinion Project ),https://libguides.asu.edu/americabarometer,AmericasBarometer contains survey data from the Latin America Public Opinion Project from Vanderbilt University. Data is available from 1970 to the present.
Analecta hymnica medii aevi digitalia,https://libguides.asu.edu/analectahymnica,"Analecta hymnica medii aevi contains the texts of hymns of the early Catholic Church. The complete digital edition allows for searching the full text of the hymns, including the bibliographic references to manuscripts and prints in Latin."
Animator's Survival Kit Animated,https://libguides.asu.edu/animators-survival-kit,"Trial access ends Feb 26, 2026. Streaming video collection of masterclasses by acclaimed animator Richard Williams, teaching fundamental animation techniques for mastering character motion in both traditional and digital methods.Please submit feedback to support continued access."
Annual Reviews,https://libguides.asu.edu/annualreviews,"Analytic reviews in focused disciplines across biological, medical, physical, and social sciences."
Anthropology Plus,https://libguides.asu.edu/anthropolplus,"Search for journal articles, reports, and materials in anthropology and archaeology from the 18th century to the present, covering 50+ languages with monthly updates."
Anthrosource,https://libguides.asu.edu/anthrosource,"Provides full-text access to scholarly journals published by the American Anthropological Association, covering all subfields of anthropology."
AP Newsroom,https://libguides.asu.edu/apdigiphoto,"Search current and historic photographs from the Associated Press, featuring news images, historical figures, celebrities, and key events from the 19th and 20th centuries."
APA Books (PsycNET),https://libguides.asu.edu/apabooks,Browse full-text ebooks and handbooks published by the American Psychological Association. Coverage:2001-present
APA PsycArticles (ProQuest),https://libguides.asu.edu/psycarticles,"Full-text, peer-reviewed journal articles covering research across psychology and related behavioral sciences from journals published by the American Psychological Association and affiliated publishers."
APA PsycBooks (ProQuest),https://libguides.asu.edu/apa-psycbooks,"Peer‑reviewed scholarly and professional psychology and behavioral science books, including current APA titles, reference works, and classic/historic volumes."
APA PsycExtra (ProQuest),https://libguides.asu.edu/apa-psycextra,"Archive of psychology-related gray literature, including conference proceedings, reports, and newsletters, providing unique and frequently updated content in behavioral and social sciences."
APA PsycExtra (PsycNET),https://libguides.asu.edu/PsycEXTRA,"Browse gray literature such as conference presentations, reports, fact sheets, and newsletters, providing access to unique and innovative content in psychology and the behavioral sciences."
APA PsycInfo (ProQuest),https://libguides.asu.edu/psycinfo,"Expertly indexed abstracts and citations for global peer-reviewed research in psychology and related behavioral, social science, and mental health fields."
APA PsycNET,https://libguides.asu.edu/psycnet,"Research platform cross-searchesAPA Journals,APA Books,APA PsycExtra,APA PsycTests, andAPA PsycTherapy, providing access to full-text APA books, select journals, Encyclopedia of Psychology entries, and structured information on psychological tests across various psychology subfields."
APA PsycTests (ProQuest),https://libguides.asu.edu/apa-psyctests,"Structured summaries, development data, and full-text psychological tests, scales, and measures, plus metadata on reliability, validity, permissions, and test versions.."
APA PsycTherapy (ProQuest),https://libguides.asu.edu/apa-psyctherapy,"Streaming video demonstrations of unscripted psychotherapy with individuals, couples, and families, highlighting various therapeutic approaches for training and professional development."
APA PsycTherapy (PsycNET),https://libguides.asu.edu/psyctherapy,"900+ unscripted therapy session videos featuring diverse therapeutic approaches led by experienced clinicians, designed for training and education in clinical and counseling programs."
Applied Environmental Science,https://libguides.asu.edu/ap-aes,"Curated grey literature on climate resilience, environmental technologies, and sustainability, emphasizing social equity, indigenous knowledge, and regenerative practices from global organizations."
Applied Science & Business Periodicals Retrospective: 1913-1983 (H.W. Wilson),https://libguides.asu.edu/applscibus19131983,"Archive of citations documenting the history of business, industry, and technological advances from 1913 to 1983, featuring standardized names and historical subject headings for seamless retrieval of information."
Applied Science Commons,https://libguides.asu.edu/apcommons,"Aggregates and preserves practical, real-world STEM research, such as technical reports, case studies, and white papers, from reputable global organizations."
ArchiveGrid,https://libguides.asu.edu/archivegrid,"Find to detailed descriptions of archival collections, such as historical documents and personal papers, held by libraries, museums, and archives globally."
"Archives Direct: Confidential Print: Africa, 1834-1966",https://libguides.asu.edu/CP_Africa,"Digitized British government documents from the Confidential Print series, spanning 1834 to 1966, that detail colonial administration, diplomacy, and political, social, and economic developments across Africa."
"Archives Direct: Confidential Print: Latin America, 1833-1969",https://libguides.asu.edu/CP_LatinAmerica,"Digitized British government documents from the Confidential Print series, spanning 1833 to 1969, that chronicle Latin American state-building, diplomacy, political, social and economic developments from post-independence onward."
"Archives Direct: Confidential Print: Middle East, 1839-1969",https://libguides.asu.edu/CP_MiddleEast,"Digitized British government documents from the Confidential Print series, spanning 1839 to 1969, that follow Middle Eastern diplomacy and statecraft from the reforms of Muhammad Ali Pasha through the Suez Crisis, the Palestine mandates and partition, and the Arab-Israeli conflict."
"Archives Direct: Foreign Office Files for China, 1919-1980",https://libguides.asu.edu/foreignfileschina,"Collection of digitized British Foreign Office documents related to China, Hong Kong, and Taiwan in the twentieth century, including diplomatic dispatches, reports, correspondence, and analyses."
"Archives Direct: Foreign Office Files for India, Pakistan and Afghanistan, 1947-1980",https://libguides.asu.edu/fofindiapakistanafgh,"Digitized British Foreign Office and Dominions Office files, covering 1947 to 1980, that document South Asia’s post-colonial politics, from India and Pakistan’s partition and Kashmir disputes to India’s Emergency, Bangladesh’s independence, Afghanistan’s Cold War brinkmanship, and regional diplomacy."
"Archives Direct: Macmillan Cabinet Papers, 1957-1963",https://libguides.asu.edu/macmillancab,"Provides historians and political scientists access to 30,000 original documents and five essays from the Macmillan Administration, covering the years 1957 to 1963."
"Archives of Latin American and Caribbean History, Sixteenth to Twentieth Century (Gale Primary Sources)",https://libguides.asu.edu/archiveslacarib,"Extensive archival material covering Latin American and Caribbean culture and history from the 15th to the 20th century, featuring over 1 million pages curated by leading scholars."
Archives of Sexuality and Gender,https://libguides.asu.edu/archives-sexuality-gender,"Includes a large collection of primary sources on social, political, health, and legal issues impacting LGBTQ communities around the world. Subjects include LGBTQ history and activism, cultural studies, psychology, sociology, health, political science, policy studies, human rights, gender studies, and more."
Archives of the Church of Uganda Online,https://libguides.asu.edu/archchurchuganda,"Records in this collection document the history of the Church of the Province of Uganda, including some of the first written documents about and originating from Uganda. It covers the period from the arrival of the first Church Missionary Society missionaries at King Mutesa's court (1877) to the early 1980s. Contents of the collection include legal and administrative documents, correspondence, publications, personal records and more from the Offices of the Archbishops and Bishops of Uganda, the Education Secretary General, the General, Financial, and Provincial Secretaries, the Provincial Treasurer, and the Mother’s Union. The collection documents are in English and Bantu languages."
Archives Unbound,https://libguides.asu.edu/archivesunbound,"Digital collections of historical documents on topics like U.S. foreign policy, civil rights, global affairs, and modern history, spanning from the Middle Ages to the twentieth century, selected based on requests from scholars, archivists, and students"
Arizona and Southwestern Index,https://libguides.asu.edu/azswidx,Dates from prehistory to the present time and covers all subjects dealing with Arizona and the Southwest including some southwestern Indian tribes. The index describes materials found in the Arizona Collection.
Arizona Archives Online,https://libguides.asu.edu/azarchonline,"A collaborative project that provides searchable finding aids for archival collections across Arizona, including universities, historical institutions, and museums, with plans to expand to include digital content from selected collections."
Arizona Republic (ProQuest),https://libguides.asu.edu/azrepublic,"Find articles, editorials, notices, and obituaries from the Arizona Republic since 1999, excluding images and ads."
Art Full Text (H.W. Wilson),https://libguides.asu.edu/artfulltext,"Access full-text journals, dissertations, and art reproductions related to fine and commercial art, photography, film, and architecture, with expert indexing for scholarly research."
Art Index Retrospective (H.W. Wilson),https://libguides.asu.edu/artidxretro,"Indexes articles on artfrom periodicals, yearbooks, & museum bulletins, including reproductions of works of art. References paintings used as illustrations for articles or ads, listing the works under the artists' names with full citations."
ARTbibliographies Modern (ABM),https://libguides.asu.edu/artbibliomod,"Coverage:1974+Maximum Concurrent Users:UnlimitedIndexes journals, monographs, exhibition catalogs, dissertations, & other publications related to 19-20th century art. Covers architecture, collecting, drawing, education, folk art, graphic design, museums & galleries, painting, photography, etc."
ARTFL,https://libguides.asu.edu/artfl,"Coverage:13th-20th CenturiesMaximum Concurrent Users:UnlimitedProject for American & French Research on the Treasury of the French Language. Coverage includes classic works of literature & non-fiction prose & technical writing, novels, verse, theater, journalism, essays, correspondence, & treatises."
Artstor Collections on JSTOR,https://libguides.asu.edu/artstordl,"Explore millions of high-quality, curated images from global museums, archives, and artists. Includes publicly accessible files from JSTOR’s journals and primary sources."
arXiv.org,https://libguides.asu.edu/arxive,"An open-access repository for preprint research papers spanning various fields including physics, mathematics, computer science, quantitative biology, quantitative finance, statistics, electrical engineering, and economics."
ASCE Library,https://libguides.asu.edu/ascelib,"A comprehensive collection of civil engineering literature, including journals, conference proceedings, e-books, and standards."
