Location,Link,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
Ask a Librarian Chat and Text Service,https://askalibrarian.asu.edu,Closed,8am - 5pm,8am - 5pm,8am - 5pm,8am - 5pm,8am - 5pm,Closed
ASU California Center Library (Pacific Time),https://lib.asu.edu/asu-california-center,Closed,7:30am - 7pm,7:30am - 7pm,7:30am - 7pm,7:30am - 7pm,7:30am - 6pm,Closed
"Design and the Arts Library – ASU Faculty, Staff and Students",https://lib.asu.edu/design,1pm - 8pm,8am - 8pm,8am - 8pm,8am - 8pm,8am - 8pm,8am - 5pm,1pm - 5pm
Visitors,https://lib.asu.edu/design,Closed,10am - 2pm,10am - 2pm,10am - 2pm,10am - 2pm,10am - 2pm,Closed
"Downtown campus Library - ASU Faculty, Staff and Students",https://lib.asu.edu/downtown,12pm - 8pm,8am - 10pm,8am - 10pm,8am - 10pm,8am - 10pm,8am - 7pm,10am - 6pm
"Hayden Library - ASU Faculty, Staff and Students",https://lib.asu.edu/hayden,10am - 12am,7am - 12am,7am - 12am,7am - 12am,7am - 12am,7am - 12am,9am - 12am
Visitors,https://lib.asu.edu/hayden,10am - 5pm,7am - 9pm,7am - 9pm,7am - 9pm,7am - 9pm,7am - 5pm,9am - 5pm
Map and Geospatial Hub (by appt only),https://lib.asu.edu/geo,-,-,-,-,-,-,-
Wurzburger Reading Room (by appt only),https://askalibrarian.asu.edu/askanarchivist,-,-,-,-,-,-,-
Data Science and Analytics (by appt only),https://lib.asu.edu/data,-,-,-,-,-,-,-
Makerspace (by appt only),http://asu.libcal.com/reserve/makerspace,Closed,9am - 5pm,9am - 5pm,9am - 5pm,9am - 5pm,9am - 5pm,Closed
Naturespace,https://lib.asu.edu/naturespace,Closed,10am - 6pm,10am - 6pm,10am - 6pm,10am - 6pm,10am - 2pm,Closed
Hayden Labriola,https://lib.asu.edu/labriola,10am - 6pm,9am - 9pm,9am - 9pm,9am - 9pm,9am - 9pm,9am - 5pm,10am - 6pm
Book Arts Studio (by reservation),https://lib.asu.edu/makerspace/book-arts-studio,Closed,11am - 4pm,11am - 4pm,11am - 4pm,11am - 4pm,Closed,Closed
Community Driven Archives (by appt only),No Link,-,-,-,-,-,-,-
Law Library,https://lawlib.asu.edu/,Closed,8am - 5pm,8am - 5pm,8am - 5pm,8am - 5pm,8am - 5pm,Closed
Music Library,https://lib.asu.edu/music,1pm - 7pm,8am - 8pm,8am - 8pm,8am - 8pm,8am - 8pm,8am - 6pm,10am - 5pm
Polytechnic campus Library,https://lib.asu.edu/polytechnic,12pm - 10pm,8am - 10pm,8am - 10pm,8am - 10pm,8am - 10pm,8am - 7pm,11am - 7pm
"Noble Library - ASU Faculty, Staff and Students",https://lib.asu.edu/noble,10am - 12am,24 hours,24 hours,24 hours,24 hours,12am - 9pm,10am - 9pm
Visitors,https://lib.asu.edu/noble,10am - 5pm,7am - 9pm,7am - 9pm,7am - 9pm,7am - 9pm,7am - 5pm,10am - 5pm
"West Valley campus (Fletcher) Library - ASU Faculty, Staff and Students",https://lib.asu.edu/fletcher,11am - 7pm,7:30am - 10pm,7:30am - 10pm,7:30am - 10pm,7:30am - 10pm,7:30am - 6pm,11am - 7pm
Visitors,https://lib.asu.edu/fletcher,Closed,7:30am - 6pm,7:30am - 6pm,7:30am - 6pm,7:30am - 6pm,7:30am - 6pm,Closed
Labriola at West Valley campus  (by appt only),https://lib.asu.edu/labriola/,-,-,-,-,-,-,-
